PC1	PC2	id	donor	time
-168.37694905158	30.0456362192752	ctrl_plasmid_t0_r1	plasmid	t0
-127.300581751998	0.0238189840811285	ctrl_plasmid_t0_r2	plasmid	t0
-129.195507927699	-0.264511799860291	ctrl_plasmid_t0_r3	plasmid	t0
33.3594072420802	68.1914764168848	nk_d957_t0_r1	d957	t0
28.4839344486148	54.4771658350424	nk_d957_t0_r2	d957	t0
31.3291294679495	57.9695160287091	nk_d957_t0_r3	d957	t0
-3.64955628117209	-41.3346680334665	nk_d957_t3_r1	d957	t3
-12.2781869457628	-58.4090704533344	nk_d957_t3_r2	d957	t3
-2.96305285122224	-43.7088794734977	nk_d957_t3_r3	d957	t3
48.2742763812229	28.1684494085145	nk_d957_t3_r4	d957	t3
59.4636706888315	14.0503556334482	nk_d957_t3_r5	d957	t3
-12.2083102437343	-44.9084881020138	nk_d957_t6_r1	d957	t6
-6.55777974104422	-44.5861963458852	nk_d957_t6_r2	d957	t6
1.38564032956373	-28.2238098394392	nk_d957_t6_r3	d957	t6
50.6920125870201	31.3755975430811	nk_d957_t6_r4	d957	t6
65.7085242649654	6.25528716332507	nk_d957_t6_r5	d957	t6
-22.1580405821523	19.8695887522832	nk_d958_t0_r1	d958	t0
-36.6815183447994	21.6469285791359	nk_d958_t0_r2	d958	t0
-50.2312774700126	33.1991863308007	nk_d958_t0_r3	d958	t0
43.6724362601371	5.0067295124295	nk_d958_t3_r1	d958	t3
34.1831296489638	-60.5597538278896	nk_d958_t3_r2	d958	t3
37.9732516099374	-12.7410367029382	nk_d958_t3_r3	d958	t3
56.0237483627737	7.79679163068408	nk_d958_t6_r1	d958	t6
43.2140560757532	-31.692314688485	nk_d958_t6_r2	d958	t6
37.8375438233448	-11.6477987708616	nk_d958_t6_r3	d958	t6
